city,station,latitude,longitude,pollutant_id,pollutant_avg
A0ntapur,Gulzarpet,14.675886,77.593027,SO2,0
Chittoor,Gangineni Cheruvu,13.20488,79.097889,SO2,12
Tirupati,Tirumala,13.67,79.35,NH3,3
Tirupati,Tirumala,13.67,79.35,CO,47
Tirupati,Tirumala,13.67,79.35,OZONE,34
Tirupati,Vaikuntapuram,13.615387,79.40923,PM10,91
Tirupati,Vaikuntapuram,13.615387,79.40923,CO,48
Vijayawada,HB Colony,16.536107,80.594233,PM10,46
Vijayawada,HB Colony,16.536107,80.594233,CO,24
Vijayawada,Rajiv Gandhi Park,16.509717,80.612222,PM2.5,66
Vijayawada,Rajiv Gandhi Park,16.509717,80.612222,OZONE,52
Visakhapat0m,GVM Corporation,17.72,83.3,PM2.5,186
Guwahati,IITG,26.2028636,91.70046436,PM2.5,202
Guwahati,IITG,26.2028636,91.70046436,SO2,13
Guwahati,IITG,26.2028636,91.70046436,OZONE,8
0gaon,Christianpatty,26.349082,92.68449,PM2.5,87
0lbari,Bata Chowk,26.446912,91.439057,NO2,49
Silchar,Tarapur,24.82827,92.79525,NH3,1
Silchar,Tarapur,24.82827,92.79525,CO,32
Sivasagar,Girls College,26.987634,94.636574,NH3,2
Araria,Kharahiya Basti,26.146529,87.454184,OZONE,27
Arrah,New DM Office,25.5626095,84.663264,PM10,170
Aurangabad,Gurdeo 0gar,24.75746,84.366208,OZONE,28
Bettiah,Kamal0th 0gar,26.80365,84.51954,SO2,15
Bhagalpur,DM Office_Kachari Chowk,25.251013,86.989001,CO,60
Bhagalpur,Mayaganj,25.265194,87.012947,SO2,12
Bihar Sharif,D M Colony,25.204762,85.51496,NH3,2
Gaya,Collectorate,24.7955,84.9994,OZONE,58
Gaya,Kareemganj,24.792403,84.992416,NO2,30
Gaya,SFTI Kusdihra,24.762518,84.982348,CO,40
Gaya,SFTI Kusdihra,24.762518,84.982348,OZONE,40
Hajipur,Industrial Area,25.697189,85.2459,PM10,225
Katihar,Mirchaibari,25.560083,87.553265,OZONE,22
Kishanganj,SDM Office_Khagra,26.0881305,87.93840336,PM2.5,95
Kishanganj,SDM Office_Khagra,26.0881305,87.93840336,OZONE,31
Motihari,Gandak Colony,26.63086,84.90051,NO2,105
Motihari,Gandak Colony,26.63086,84.90051,NH3,17
Motihari,Gandak Colony,26.63086,84.90051,OZONE,37
Muzaffarpur,Buddha Colony,26.11442,85.39813,SO2,0
Muzaffarpur,Buddha Colony,26.11442,85.39813,CO,33
Muzaffarpur,Buddha Colony,26.11442,85.39813,OZONE,49
Muzaffarpur,Muzaffarpur Collectorate,26.1209,85.3647,PM2.5,189
Muzaffarpur,Muzaffarpur Collectorate,26.1209,85.3647,OZONE,39
Pat0,DRM Office Da0pur,25.586562,85.043586,NO2,41
Pat0,DRM Office Da0pur,25.586562,85.043586,CO,66
Pat0,Govt. High School Shikarpur,25.592539,85.227158,PM2.5,227
Pat0,Govt. High School Shikarpur,25.592539,85.227158,PM10,204
Pat0,Muradpur,25.619651,85.147382,NO2,54
Pat0,Muradpur,25.619651,85.147382,NH3,10
Pat0,Rajbansi 0gar,25.599486,85.113666,CO,98
Pat0,Samanpura,25.596727,85.085624,CO,179
Pat0,Samanpura,25.596727,85.085624,OZONE,23
Rajgir,Dangi Tola,25.0328,85.41948,PM2.5,273
Rajgir,Dangi Tola,25.0328,85.41948,NH3,1
Saharsa,Police Line,25.892357,86.590325,OZONE,6
Siwan,Chitragupta 0gar,26.2271665,84.3570427,PM2.5,0
Siwan,Chitragupta 0gar,26.2271665,84.3570427,NO2,43
Siwan,Chitragupta 0gar,26.2271665,84.3570427,SO2,29
Siwan,Chitragupta 0gar,26.2271665,84.3570427,OZONE,36
Chandigarh,Sector 22,30.735567,76.775714,PM2.5,346
Chandigarh,Sector 22,30.735567,76.775714,PM10,236
Chandigarh,Sector 22,30.735567,76.775714,CO,98
